date,dii_net_cr,fii_net_cr
2026-07-07,-383.43,393.19
2026-07-08,790.16,1962.8
2026-07-09,2057.79,-532.86
2026-07-10,2019.68,2603.72
2026-07-13,2171.7,-3062.27
2026-07-14,2927.71,-739.69
2026-07-15,704.93,-735.83
2026-07-16,2986.41,-4205.56
2026-07-17,1017.89,-376.41
2026-07-20,1312.03,-1121.04
2026-07-21,-656.88,1650.16
2026-07-22,-418.26,-819.2
2026-07-23,2947.14,-2999.23
2026-07-24,5453.55,-3892.77
2026-07-27,2329.14,-1688.23
2026-07-28,1664.16,755.33
2026-07-29,998.02,2981.87
2026-07-30,-1864.03,3623.51
2026-07-31,2260.37,277.48
2026-08-03,1571.18,922.26
2026-08-04,-936.14,2446.47
2026-08-05,2883.17,-943.42
2026-08-06,4013.6,-17.86
2026-08-07,235.56,480.24
2026-08-10,-1290.29,1974.76
2026-08-11,24.77,258.55
2026-08-12,5841.66,-1002.5
2026-08-13,4353.09,-510.69
2026-08-14,356.4,508.12
2026-08-17,5101.46,-2535.1
