date,ticker,name,open,high,low,close,volume
2024-07-24,^NSEI,NIFTY 50,24444.94921875,24504.25,24307.25,24413.5,366600
2024-07-25,^NSEI,NIFTY 50,24230.94921875,24426.150390625,24210.80078125,24406.099609375,391800
2024-07-26,^NSEI,NIFTY 50,24423.349609375,24861.150390625,24410.900390625,24834.849609375,383800
2024-07-29,^NSEI,NIFTY 50,24943.30078125,24999.75,24774.599609375,24836.099609375,355000
2024-07-30,^NSEI,NIFTY 50,24839.400390625,24971.75,24798.650390625,24857.30078125,385000
2024-07-31,^NSEI,NIFTY 50,24886.69921875,24984.599609375,24856.5,24951.150390625,333600
2024-08-01,^NSEI,NIFTY 50,25030.94921875,25078.30078125,24956.400390625,25010.900390625,431300
2024-08-02,^NSEI,NIFTY 50,24789.0,24851.900390625,24686.849609375,24717.69921875,345000
2024-08-05,^NSEI,NIFTY 50,24302.849609375,24350.05078125,23893.69921875,24055.599609375,487000
2024-08-06,^NSEI,NIFTY 50,24189.849609375,24382.599609375,23960.400390625,23992.55078125,312300
2024-08-07,^NSEI,NIFTY 50,24289.400390625,24337.69921875,24184.900390625,24297.5,317600
2024-08-08,^NSEI,NIFTY 50,24248.55078125,24340.5,24079.69921875,24117.0,311900
2024-08-09,^NSEI,NIFTY 50,24386.849609375,24419.75,24311.19921875,24367.5,215100
2024-08-12,^NSEI,NIFTY 50,24320.05078125,24472.80078125,24212.099609375,24347.0,279900
2024-08-13,^NSEI,NIFTY 50,24342.349609375,24359.94921875,24116.5,24139.0,239700
2024-08-14,^NSEI,NIFTY 50,24184.400390625,24196.5,24099.69921875,24143.75,303300
2024-08-16,^NSEI,NIFTY 50,24334.849609375,24563.900390625,24204.5,24541.150390625,271600
2024-08-19,^NSEI,NIFTY 50,24636.349609375,24638.80078125,24522.94921875,24572.650390625,243600
2024-08-20,^NSEI,NIFTY 50,24648.900390625,24734.30078125,24607.19921875,24698.849609375,238300
2024-08-21,^NSEI,NIFTY 50,24680.55078125,24787.94921875,24654.5,24770.19921875,257100
2024-08-22,^NSEI,NIFTY 50,24863.400390625,24867.349609375,24784.44921875,24811.5,220300
2024-08-23,^NSEI,NIFTY 50,24845.400390625,24858.400390625,24771.650390625,24823.150390625,206800
2024-08-26,^NSEI,NIFTY 50,24906.099609375,25043.80078125,24874.69921875,25010.599609375,210300
2024-08-27,^NSEI,NIFTY 50,25024.80078125,25073.099609375,24973.650390625,25017.75,223300
2024-08-28,^NSEI,NIFTY 50,25030.80078125,25129.599609375,24964.650390625,25052.349609375,220400
2024-08-29,^NSEI,NIFTY 50,25035.30078125,25192.900390625,24998.5,25151.94921875,354000
2024-08-30,^NSEI,NIFTY 50,25249.69921875,25268.349609375,25199.400390625,25235.900390625,638200
2024-09-02,^NSEI,NIFTY 50,25333.599609375,25333.650390625,25235.5,25278.69921875,222800
