ticker,name,sector,cap
ASKAUTOLTD.NS,ASK Automotive Ltd.,Automobile and Auto Components,Micro250
AXISCADES.NS,AXISCADES Technologies Ltd.,Capital Goods,Micro250
AARTIDRUGS.NS,Aarti Drugs Ltd.,Healthcare,Micro250
AARTIPHARM.NS,Aarti Pharmalabs Ltd.,Healthcare,Micro250
AVL.NS,Aditya Vision Ltd.,Consumer Services,Micro250
ADVENZYMES.NS,Advanced Enzyme Tech Ltd.,Healthcare,Micro250
AEQUS.NS,Aequs Ltd.,Capital Goods,Micro250
AETHER.NS,Aether Industries Ltd.,Chemicals,Micro250
AHLUCONT.NS,Ahluwalia Contracts (India) Ltd.,Construction,Micro250
AKUMS.NS,Akums Drugs and Pharmaceuticals Ltd.,Healthcare,Micro250
APLLTD.NS,Alembic Pharmaceuticals Ltd.,Healthcare,Micro250
ALIVUS.NS,Alivus Life Sciences Ltd.,Healthcare,Micro250
ALKYLAMINE.NS,Alkyl Amines Chemicals Ltd.,Chemicals,Micro250
ALOKINDS.NS,Alok Industries Ltd.,Textiles,Micro250
APOLLO.NS,Apollo Micro Systems Ltd.,Capital Goods,Micro250
ACI.NS,Archean Chemical Industries Ltd.,Chemicals,Micro250
ARVINDFASN.NS,Arvind Fashions Ltd.,Consumer Services,Micro250
ARVIND.NS,Arvind Ltd.,Textiles,Micro250
ASHAPURMIN.NS,Ashapura Minechem Ltd.,Metals & Mining,Micro250
ASHOKA.NS,Ashoka Buildcon Ltd.,Construction,Micro250
ASTRAMICRO.NS,Astra Microwave Products Ltd.,Capital Goods,Micro250
ATLANTAELE.NS,Atlanta Electricals Ltd.,Capital Goods,Micro250
AURIONPRO.NS,Aurionpro Solution Ltd.,Information Technology,Micro250
AVALON.NS,Avalon Technologies Ltd.,Capital Goods,Micro250
AVANTIFEED.NS,Avanti Feeds Ltd.,Fast Moving Consumer Goods,Micro250
CCAVENUE.NS,AvenuesAI Ltd.,Financial Services,Micro250
AWFIS.NS,Awfis Space Solutions Ltd.,Services,Micro250
AZAD.NS,Azad Engineering Ltd.,Capital Goods,Micro250
BAJAJELEC.NS,Bajaj Electricals Ltd,Consumer Durables,Micro250
BALAMINES.NS,Balaji Amines Ltd.,Chemicals,Micro250
BALUFORGE.NS,Balu Forge Industries Ltd.,Capital Goods,Micro250
BANCOINDIA.NS,Banco Products (India) Ltd.,Automobile and Auto Components,Micro250
BIRLACORPN.NS,Birla Corporation Ltd.,Construction Materials,Micro250
BBOX.NS,Black Box Ltd.,Information Technology,Micro250
BLACKBUCK.NS,Blackbuck Ltd.,Services,Micro250
BLUESTONE.NS,BlueStone Jewellery and Lifestyle Ltd.,Consumer Durables,Micro250
BORORENEW.NS,Borosil Renewables Ltd.,Capital Goods,Micro250
CMSINFO.NS,CMS Info Systems Ltd.,Services,Micro250
CORONA.NS,CORONA Remedies Ltd.,Healthcare,Micro250
CSBBANK.NS,CSB Bank Ltd.,Financial Services,Micro250
CAMPUS.NS,Campus Activewear Ltd.,Consumer Durables,Micro250
CRAMC.NS,Canara Robeco Asset Management Company Ltd.,Financial Services,Micro250
CAPILLARY.NS,Capillary Technologies India Ltd.,Information Technology,Micro250
CELLO.NS,Cello World Ltd.,Consumer Durables,Micro250
CENTURYPLY.NS,Century Plyboards (India) Ltd.,Consumer Durables,Micro250
CERA.NS,Cera Sanitaryware Ltd,Consumer Durables,Micro250
CRIZAC.NS,Crizac Ltd.,Consumer Services,Micro250
CUPID.NS,Cupid Ltd.,Fast Moving Consumer Goods,Micro250
DCBBANK.NS,DCB Bank Ltd.,Financial Services,Micro250
DATAMATICS.NS,Datamatics Global Services Ltd.,Information Technology,Micro250
DIACABS.NS,Diamond Power Infrastructure Ltd.,Capital Goods,Micro250
DBL.NS,Dilip Buildcon Ltd.,Construction,Micro250
AGARWALEYE.NS,Dr. Agarwal's Health Care Ltd.,Healthcare,Micro250
DYNAMATECH.NS,Dynamatic Technologies Ltd.,Capital Goods,Micro250
EPL.NS,EPL Ltd.,Capital Goods,Micro250
EDELWEISS.NS,Edelweiss Financial Services Ltd.,Financial Services,Micro250
EMIL.NS,Electronics Mart India Ltd.,Consumer Services,Micro250
ELECTCAST.NS,Electrosteel Castings Ltd.,Capital Goods,Micro250
ELLEN.NS,Ellenbarrie Industrial Gases Ltd.,Chemicals,Micro250
EMBDL.NS,Embassy Developments Ltd.,Realty,Micro250
ENTERO.NS,Entero Healthcare Solutions Ltd.,Consumer Services,Micro250
EIEL.NS,Enviro Infra Engineers Ltd.,Utilities,Micro250
EQUITASBNK.NS,Equitas Small Finance Bank Ltd.,Financial Services,Micro250
ETHOSLTD.NS,Ethos Ltd.,Consumer Durables,Micro250
EUREKAFORB.NS,Eureka Forbes Ltd.,Consumer Durables,Micro250
FEDFINA.NS,Fedbank Financial Services Ltd.,Financial Services,Micro250
FIEMIND.NS,Fiem Industries Ltd,Automobile and Auto Components,Micro250
FINPIPE.NS,Finolex Industries Ltd.,Capital Goods,Micro250
UTLSOLAR.NS,Fujiyama Power Systems Ltd.,Capital Goods,Micro250
GHCL.NS,GHCL Ltd.,Chemicals,Micro250
GMMPFAUDLR.NS,GMM Pfaudler Ltd.,Capital Goods,Micro250
GMRP&UI.NS,GMR Power and Urban Infra Ltd.,Power,Micro250
GRWRHITECH.NS,Garware Hi-Tech Films Ltd.,Capital Goods,Micro250
GODREJAGRO.NS,Godrej Agrovet Ltd.,Fast Moving Consumer Goods,Micro250
GOKEX.NS,Gokaldas Exports Ltd.,Textiles,Micro250
GOKULAGRO.NS,Gokul Agro Resources Ltd.,Fast Moving Consumer Goods,Micro250
