ticker,lot
ADANIPORTS.NS,475.0
ADANIPOWER.NS,3550.0
AMBER.NS,100.0
AMBUJACEM.NS,1200.0
APOLLOHOSP.NS,125.0
ASIANPAINT.NS,250.0
AUBANK.NS,1000.0
AUROPHARMA.NS,550.0
AXISBANK.NS,625.0
BAJAJHLDNG.NS,75.0
BAJFINANCE.NS,750.0
ABB.NS,125.0
BANDHANBNK.NS,3600.0
BHARTIARTL.NS,475.0
ADANIENSOL.NS,675.0
BLUESTARCO.NS,325.0
BOSCHLTD.NS,25.0
BPCL.NS,1975.0
CDSL.NS,475.0
ADANIGREEN.NS,600.0
CHOLAFIN.NS,625.0
ALKEM.NS,125.0
COALINDIA.NS,1350.0
ANGELONE.NS,2500.0
APLAPOLLO.NS,350.0
COCHINSHIP.NS,400.0
BAJAJ-AUTO.NS,75.0
DABUR.NS,1250.0
DIVISLAB.NS,100.0
BDL.NS,425.0
BSE.NS,200.0
DRREDDY.NS,625.0
EICHERMOT.NS,100.0
CAMS.NS,825.0
EXIDEIND.NS,1800.0
CGPOWER.NS,850.0
FORTIS.NS,775.0
COFORGE.NS,475.0
CONCOR.NS,1250.0
CUMMINSIND.NS,200.0
GODREJPROP.NS,325.0
HAVELLS.NS,500.0
DALBHARAT.NS,325.0
ETERNAL.NS,2425.0
HINDUNILVR.NS,300.0
HYUNDAI.NS,275.0
IDFCFIRSTB.NS,9275.0
INDIGO.NS,150.0
INDUSINDBK.NS,700.0
INOXWIND.NS,6400.0
GAIL.NS,3550.0
GMRAIRPORT.NS,6975.0
ASHOKLEY.NS,5000.0
ASTRAL.NS,425.0
GRASIM.NS,250.0
JINDALSTEL.NS,625.0
GVT&D.NS,125.0
JSWENERGY.NS,1075.0
HCLTECH.NS,400.0
HDFCBANK.NS,650.0
KEI.NS,175.0
KFINTECH.NS,575.0
KPITTECH.NS,775.0
LAURUSLABS.NS,850.0
HDFCLIFE.NS,1100.0
LICHSGFIN.NS,1000.0
HEROMOTOCO.NS,150.0
LICI.NS,1400.0
HINDALCO.NS,700.0
LODHA.NS,625.0
ICICIBANK.NS,700.0
ICICIGI.NS,325.0
LTM.NS,150.0
MANAPPURAM.NS,3000.0
MANKIND.NS,250.0
MARUTI.NS,50.0
MCX.NS,225.0
NATIONALUM.NS,1875.0
NESTLEIND.NS,500.0
NTPC.NS,1500.0
PFC.NS,1300.0
BEL.NS,1425.0
PHOENIXLTD.NS,350.0
PIDILITIND.NS,500.0
BHARATFORG.NS,500.0
PNBHOUSING.NS,650.0
BHEL.NS,2625.0
PRESTIGE.NS,450.0
RBLBANK.NS,3175.0
ITC.NS,1725.0
RECLTD.NS,1575.0
RELIANCE.NS,500.0
RVNL.NS,1925.0
SBICARD.NS,800.0
SBIN.NS,750.0
SUPREMEIND.NS,175.0
TATACONSUM.NS,550.0
TATAPOWER.NS,1450.0
TECHM.NS,600.0
UNIONBANK.NS,4425.0
BANKINDIA.NS,5200.0
CIPLA.NS,425.0
KALYANKJIL.NS,1350.0
KAYNES.NS,150.0
ADANIENT.NS,309.0
LTF.NS,2250.0
MFSL.NS,400.0
COLPAL.NS,275.0
MOTHERSON.NS,6150.0
MOTILALOFS.NS,775.0
MUTHOOTFIN.NS,275.0
CROMPTON.NS,2150.0
NAUKRI.NS,550.0
NBCC.NS,6500.0
NHPC.NS,6950.0
NUVAMA.NS,500.0
OFSS.NS,100.0
ONGC.NS,2250.0
PAGEIND.NS,20.0
PATANJALI.NS,1075.0
PAYTM.NS,725.0
PGEL.NS,950.0
POWERGRID.NS,1900.0
POWERINDIA.NS,25.0
RADICO.NS,150.0
SBILIFE.NS,375.0
SHREECEM.NS,25.0
SIEMENS.NS,175.0
SOLARINDS.NS,50.0
SONACOMS.NS,1225.0
SUZLON.NS,12700.0
SWIGGY.NS,1825.0
TATASTEEL.NS,2750.0
FEDERALBNK.NS,2500.0
TIINDIA.NS,200.0
FORCEMOT.NS,25.0
TITAN.NS,175.0
VEDL.NS,1150.0
TMPV.NS,1600.0
TORNTPHARM.NS,125.0
TVSMOTOR.NS,175.0
WAAREEENER.NS,175.0
GODREJCP.NS,500.0
HAL.NS,150.0
VOLTAS.NS,375.0
BRITANNIA.NS,125.0
HINDPETRO.NS,2025.0
HINDZINC.NS,1225.0
ICICIPRULI.NS,925.0
IRFC.NS,5425.0
JSWSTEEL.NS,675.0
JUBLFOOD.NS,1250.0
DELHIVERY.NS,2075.0
DIXON.NS,50.0
DMART.NS,150.0
KOTAKBANK.NS,2000.0
GLENMARK.NS,375.0
NMDC.NS,6750.0
INDHOTEL.NS,1000.0
PETRONET.NS,1900.0
INDUSTOWER.NS,1700.0
IOC.NS,4875.0
PNB.NS,8000.0
PREMIERENE.NS,650.0
JIOFIN.NS,2350.0
SRF.NS,200.0
SUNPHARMA.NS,350.0
LUPIN.NS,425.0
MARICO.NS,1200.0
MAXHEALTH.NS,525.0
ULTRACEMCO.NS,50.0
UNITDSPR.NS,400.0
VBL.NS,1275.0
NAM-INDIA.NS,625.0
NYKAA.NS,3125.0
OBEROIRLTY.NS,350.0
DLF.NS,950.0
OIL.NS,1400.0
PERSISTENT.NS,125.0
PIIND.NS,175.0
POLICYBZR.NS,350.0
POLYCAB.NS,125.0
SHRIRAMFIN.NS,825.0
TATAELXSI.NS,125.0
BAJAJFINSV.NS,300.0
TCS.NS,225.0
TRENT.NS,225.0
UNOMINDA.NS,550.0
UPL.NS,1355.0
VMM.NS,4850.0
WIPRO.NS,3000.0
ZYDUSLIFE.NS,900.0
360ONE.NS,500.0
ABCAPITAL.NS,3100.0
BIOCON.NS,2500.0
SAIL.NS,4700.0
GODFRYPHLP.NS,275.0
INDIANB.NS,1000.0
LT.NS,175.0
M&M.NS,200.0
MAZDOCK.NS,225.0
IREDA.NS,4525.0
IDEA.NS,71475.0
IEX.NS,4350.0
BANKBARODA.NS,2925.0
HDFCAMC.NS,300.0
INFY.NS,400.0
YESBANK.NS,31100.0
CANBK.NS,6750.0
